152,昭通,34.70,28.10
153,吕梁/大武,36.70,27.55
154,攀枝花/保安营,38.50,27.27
155,广元/盘龙,25.60,26.58
156,玉树/巴塘,30.30,26.39
157,忻州/五台山,32.80,26.14
158,临汾/乔李,38.70,25.41
159,锦州/锦州湾,29.40,23.24
160,昌都/邦达,32.50,23.12
161,鸡西/兴凯湖,21.60,22.22
162,营口/兰旗,29.80,20.55
163,衢州,25.10,20.26
164,鞍山/腾鳌,26.10,19.94
165,稻城/亚丁,24.20,19.88
166,三明/沙县,20.40,19.83
167,丹东/浪头,8.30,19.81
168,怀化/芷江,49.80,18.06
169,天水/麦积山,18.00,17.86
170,格尔木,18.40,17.26
171,二连浩特/赛乌素,20.60,16.32
172,中卫/香山,24.40,16.00
173,固原/六盘山,22.60,15.71
174,阿尔山/伊尔施,10.40,15.55
175,金昌/金川,17.40,15.26
176,黑河,18.10,15.08
177,吐鲁番/交河,19.30,14.77
178,加格达奇,15.60,14.73
179,承德/普宁,43.70,14.71
180,上饶/三清山,37.50,14.67
181,连城/冠豸山,20.50,14.28
182,张掖/甘州,17.70,13.84
183,朝阳,17.30,13.62
184,伊春/林都,16.20,13.52
185,博乐/阿拉山口,16.90,13.43
186,阿拉善左旗/巴彦浩特,16.60,12.20
187,布尔津/喀纳斯,6.70,12.18
188,永州/零陵,25.00,12.08
189,甘南/夏河,12.20,11.82
190,甘孜/康定,8.40,11.70
191,百色/巴马,18.10,11.00
192,文山/普者黑,16.00,10.88
193,阿勒泰,39.70,10.52
194,通化/三源浦,11.60,10.38
195,黔南州/荔波,18.30,10.17
196,遵义/茅台,100.60,10.16
197,黎平,5.10,9.37
198,那拉提,8.20,8.45
199,漠河/古莲,8.10,8.41
200,邵阳/武冈,47.00,8.23
201,沧源/佤山,16.50,8.21
202,海西/德令哈,10.70,8.14
203,石河子/花园,16.90,8.08
204,塔城,27.00,7.46
205,果洛机场,12.50,7.07
206,阿里/昆莎,7.50,6.62
207,抚远/东极,5.90,6.56
208,日喀则,8.10,6.42
209,澜沧/景迈,23.30,6.14
210,扎兰屯/成吉思汗,12.90,5.69
211,且末,7.20,5.12
212,三沙/永兴,5.80,4.95
213,宁蒗/泸沽湖,16.40,4.75
214,霍林河机场,9.20,4.71
215,莎车,21.30,4.43
216,富蕴/可可托海,2.80,4.22
217,海西/花土沟,7.70,3.89
218,白城/长安,8.60,3.13
219,松原/查干湖,16.00,2.43
220,额济纳旗/桃来,2.10,2.36
221,河池/金城江,2.30,1.44
222,阿拉善右旗/巴丹吉林,1.30,1.41
223,阿坝/红原,2.80,1.24
224,建三江/湿地,8.20,1.16
225,神农架/红坪,2.00,1.01
226,五大连池/德都,4.00,0.56
227,长海/大长山岛,0.30,0.33
1,北京/首都,10098.30,9580.93
2,上海/浦东,7405.40,6999.43
